,Tên sách,Giá,Số lượng,Thành tiền
0,Sách - Cổ tích Nhật Bản dành cho thiếu nhi - Chuyện kì lạ về chàng Taro - Nxb Kim Đồng,46800,0.0,0.0
1,Sách - Truyện cổ tích nổi tiếng song ngữ Việt - Anh - Cinderella - Cô bé Lọ Lem,31500,2.0,63000.0
2,Sách - Hồi kí bóng đá của Son Heung Min - Đường Đến Châu Âu ( Bìa Cứng ),249300,0.0,0.0
3,Sách - Truyện cổ tích nổi tiếng song ngữ Việt - Anh - Thumbelina - Cô bé Tí Hon,31500,3.0,94500.0
4,Sách - Tư duy như Stephen Hawking - Nxb Kim Đồng,55800,1.0,55800.0
